Vid1,Vid2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,START_key.keys,START_key.rt,START_key.started,START_key.stopped,visual_key.keys,visual_key.rt,sem_key.keys,sem_key.rt,pass_loop.keys,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
Sign_Stimuli/Stim3SCF.mp4,Sign_Stimuli/Stim1VCF.mp4,0,78,78,78,,,,,['1'],[0.43790957900637295],['1'],[0.18269644099927973],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim1SCF.mp4,0,79,79,79,,,,,['1'],[5.967434276986751],['1'],[0.21778162798727863],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCM.mp4,Sign_Stimuli/Stim1F.mp4,0,80,80,80,,,,,['1'],[0.38620928999444004],['1'],[2.5872224719933],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCM.mp4,Sign_Stimuli/Stim1M.mp4,0,81,81,81,,,,,['1'],[0.11604390099819284],['1'],[0.6159676919924095],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1M.mp4,Sign_Stimuli/Stim1SCM.mp4,0,82,82,82,,,,,['2'],[0.4173914629936917],['1'],[0.38357548900239635],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1M.mp4,Sign_Stimuli/Stim3M.mp4,0,83,83,83,,,,,['1'],[0.24654067899973597],['1'],[0.3215643829898909],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3F.mp4,Sign_Stimuli/Stim1VCM.mp4,0,84,84,84,,,,,['1'],[0.27229324699146673],['1'],[0.4596359919960378],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCF.mp4,Sign_Stimuli/Stim1VCM.mp4,0,85,85,85,,,,,['3'],[2.725106728001265],['2'],[2.944615907006664],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCM.mp4,Sign_Stimuli/Stim2VCF.mp4,0,86,86,86,,,,,['2'],[2.672309857996879],['1'],[0.45317000699287746],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCM.mp4,Sign_Stimuli/Stim3SCM.mp4,0,87,87,87,,,,,['2'],[0.28701457199349534],['1'],[0.24220377000165172],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCM.mp4,Sign_Stimuli/Stim1SCF.mp4,0,88,88,88,,,,,['1'],[0.9023940000042785],['1'],[0.31753061299968977],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim2M.mp4,0,89,89,89,,,,,['6'],[38.29611128199031],['6'],[8.52775882599235],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3F.mp4,Sign_Stimuli/Stim2SCF.mp4,0,90,90,90,,,,,['1'],[0.31516834399371874],['1'],[0.2351003310031956],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCM.mp4,Sign_Stimuli/Stim2F.mp4,0,91,91,91,,,,,['2'],[13.859467068992672],['1'],[0.27058294700691476],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1VCF.mp4,Sign_Stimuli/Stim2SCM.mp4,0,92,92,92,,,,,['3'],[7.029294811],['2'],[0.4137937709892867],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCF.mp4,Sign_Stimuli/Stim2F.mp4,0,93,93,93,,,,,['2'],[12.298064930000692],['2'],[0.5927519279939588],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3F.mp4,Sign_Stimuli/Stim3M.mp4,0,94,94,94,,,,,['7'],[2.3429593949986156],['7'],[0.22440996000659652],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2M.mp4,Sign_Stimuli/Stim1F.mp4,0,95,95,95,,,,,['1'],[1.2596518020000076],['1'],[0.3871520540124038],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCF.mp4,Sign_Stimuli/Stim2VCF.mp4,0,96,96,96,,,,,['2'],[0.9624900279886788],['2'],[0.20002384499821346],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCF.mp4,Sign_Stimuli/Stim2VCM.mp4,0,97,97,97,,,,,['2'],[4.17554464598652],['2'],[0.595064855995588],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCF.mp4,Sign_Stimuli/Stim2F.mp4,0,98,98,98,,,,,['1'],[0.8306673400074942],['1'],[0.35709820000920445],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCM.mp4,Sign_Stimuli/Stim3SCM.mp4,0,99,99,99,,,,,['1'],[0.30617170500045177],['1'],[0.35692150999966543],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCF.mp4,Sign_Stimuli/Stim1M.mp4,0,100,100,100,,,,,['1'],[0.28778244300337974],['1'],[0.3579393879917916],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCF.mp4,Sign_Stimuli/Stim2SCM.mp4,0,101,101,101,,,,,['1'],[0.18652154100709595],['1'],[0.4220641779975267],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCF.mp4,Sign_Stimuli/Stim3M.mp4,0,102,102,102,,,,,['1'],[0.6343498909991467],['1'],[3.182041718013352],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1VCM.mp4,Sign_Stimuli/Stim2VCM.mp4,0,103,103,103,,,,,['1'],[0.1615927439997904],['1'],[0.37219308299245313],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCM.mp4,Sign_Stimuli/Stim2SCM.mp4,0,104,104,104,,,,,['1'],[3.1761889629997313],['1'],[0.30395136200240813],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCF.mp4,Sign_Stimuli/Stim2F.mp4,0,105,105,105,,,,,['1'],[8.882417233995511],['1'],[0.4470288820011774],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3M.mp4,Sign_Stimuli/Stim2M.mp4,0,106,106,106,,,,,['1'],[3.7500711000029696],['1'],[0.3642206609947607],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim1SCF.mp4,0,107,107,107,,,,,['1'],[0.21933701599482447],['1'],[0.46321227800217457],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim1VCF.mp4,0,108,108,108,,,,,['1'],[3.421066412003711],['1'],[2.0094991579971975],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCM.mp4,Sign_Stimuli/Stim3M.mp4,0,109,109,109,,,,,['1'],[4.075018174000434],['1'],[1.407756614004029],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCM.mp4,Sign_Stimuli/Stim2VCM.mp4,0,110,110,110,,,,,['3'],[9.372702863998711],['2'],[0.7723069869971368],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCF.mp4,Sign_Stimuli/Stim1VCF.mp4,0,111,111,111,,,,,['3'],[5.345591773002525],['3'],[0.4022510219947435],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCM.mp4,Sign_Stimuli/Stim2VCF.mp4,0,112,112,112,,,,,['2'],[1.60526075999951],['1'],[2.4277399290003814],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1VCM.mp4,Sign_Stimuli/Stim1M.mp4,0,113,113,113,,,,,['5'],[4.3107813490059925],['5'],[2.928262123998138],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2F.mp4,Sign_Stimuli/Stim3F.mp4,0,114,114,114,,,,,['1'],[8.360481777999667],['1'],[0.5298474050068762],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3M.mp4,Sign_Stimuli/Stim3SCF.mp4,0,115,115,115,,,,,['1'],[0.14422647999890614],['1'],[0.37294493200897705],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim2F.mp4,0,116,116,116,,,,,['1'],[0.31433295100578107],['1'],[1.011405122000724],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1VCM.mp4,Sign_Stimuli/Stim3SCM.mp4,0,117,117,117,,,,,['1'],[5.168329028005246],['1'],[0.5552078869950492],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3M.mp4,Sign_Stimuli/Stim3SCM.mp4,0,118,118,118,,,,,['1'],[0.28243800200289115],['1'],[0.39122548200248275],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1VCM.mp4,Sign_Stimuli/Stim1SCF.mp4,0,119,119,119,,,,,['3'],[2.0612378969963174],['2'],[3.297324181010481],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2F.mp4,Sign_Stimuli/Stim3VCM.mp4,0,120,120,120,,,,,['1'],[1.4007788659946527],['1'],[0.5225498590007192],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1F.mp4,Sign_Stimuli/Stim3VCM.mp4,0,121,121,121,,,,,['2'],[2.077680341011728],['2'],[3.437833654010319],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim2VCM.mp4,0,122,122,122,,,,,['7'],[13.450242111008265],['7'],[0.46995137599878944],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCM.mp4,Sign_Stimuli/Stim3VCF.mp4,0,123,123,123,,,,,['1'],[3.831326956002158],['1'],[0.3511844150052639],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim1VCM.mp4,0,124,124,124,,,,,['2'],[0.36299895199772436],['1'],[0.755350780003937],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim1SCM.mp4,0,125,125,125,,,,,['1'],[1.604548777002492],['1'],[0.6298820899974089],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCM.mp4,Sign_Stimuli/Stim2F.mp4,0,126,126,126,,,,,['7'],[2.735941634993651],['7'],[0.44410187799076084],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
